PropertyID,SaleDollarCnt
48735321,1434793.363325877
48735471,781230.4553448709
49128764,581441.257783355
48897535,493019.7733417501
49083957,928854.6658986284
48735139,589746.3065897246
49050509,367062.3571072827
48779919,687199.8595512419
48938810,404675.92634358926
48764026,452494.7315671014
48800998,525816.1117520983
48938840,439006.75716520695
48708330,388598.60126151965
48938842,364056.1766944793
48938860,407181.2169204379
48999322,329137.1023350689
48995218,647571.9316704331
48708194,463726.9132959278
48708200,498747.4255667391
48708248,463264.6915885894
48708239,449104.4001070543
48999427,401402.4164099808
48999374,498901.2162673423
48991139,381592.5316212265
48991282,410813.4658224607
48991465,372033.6212126036
48991525,356142.5446313493
48991316,379857.24486432056
48991354,381260.6133904291
48830311,484713.21000143443
48995430,438985.32882124995
48975563,524378.4957382532
48830343,369851.6706872592
48775590,427166.9385405276
48757761,373049.97446003964
48757750,469324.0050778269
48995542,461401.82818567904
49091102,371758.74179703667
48997093,326848.09171742416
48985565,361987.74932632747
48996857,328557.3417439008
48996733,327633.6498082398
89821776,440908.42685506115
48997089,455466.2092545004
48996766,386568.71725963434
48996772,345397.5371617972
48996843,333047.6109996394
48695718,403343.1346044336
48950367,472343.67203924456
48688235,425230.2771275011
48688220,450309.1875073624
48798580,582765.8683778952
48757434,430351.7673887849
48790414,382841.684857869
48790370,432363.76095112605
48955685,644907.2036866634
48984304,475078.2044649267
49030833,497003.2508318419
48984422,468478.64438861323
48807570,654192.763890133
48790990,774771.766257855
48807509,833128.4769945798
48798574,768630.5865831247
48807566,652417.5209597943
48798518,654686.471645689
48815303,773236.9927531228
48815292,849694.968493351
48936856,488789.43290558574
48707466,675944.7196494862
48789908,618467.4882110931
48995333,405643.5439248734
48985534,369584.23392384005
48843291,547194.8251349461
48843261,1483777.8963990116
48994561,606328.8731602972
84757140,333423.50948487496
48815281,381509.86994889006
49103656,400553.31863460527
48875759,368291.50570495555
63266265,654861.8500862
48830068,521484.6847103649
48829948,477433.0313445605
49054071,351367.83940457326
49007579,430853.2210225273
49007630,548603.2568226544
49007566,388446.6280909592
117747793,776667.9737658369
49103465,412901.04265967844
49103215,779822.5933048987
49103266,632832.6856426899
49103560,600878.1514026319
48919063,441787.5912753783
48821791,541090.5594208383
48919259,745021.5933076974
48919208,465705.3528488846
49103371,586576.0919618515
49103074,693627.4375386309
48690369,413911.9776509157
96705208,785240.503623191
49034404,888499.758276043
48829986,456965.3609921058
49109589,638629.4454215337
48688285,469140.1875945665
49146310,389972.1932867371
48810363,614018.2853268374
48810202,712022.199928536
48969368,568516.8435339391
48947013,510744.6322331888
48969371,463117.2765101456
48947215,555288.7717348723
48947370,555882.6471496342
48820276,568543.0512165155
48710141,489401.6985803524
48947030,614458.9729504697
48961987,468690.82858988043
48961994,774252.5503503436
48947427,476829.7241297278
48838058,474254.7394204121
48989076,443563.9627430169
48933371,408030.3468728712
48988928,534695.6491206904
48790432,454370.1172219365
48984844,331838.7566979797
48984857,360360.2985972136
48984854,371653.76693521836
96660623,764318.1536955782
84760654,681470.3714472514
48847154,414985.5818463231
48665291,376445.448356094
49109711,718034.1465462329
48886731,726639.214216228
49109938,392279.73922512855
48718928,454654.50297348894
49047064,430513.5268958178
48875295,733409.4188312294
48985919,524434.3870696878
48693405,577690.4567999403
48693403,666541.3723678973
48885603,818980.9297453179
49115522,606850.9109797722
48878641,993157.3273358375
48983789,1019762.4443790686
48983693,487311.80352224526
48983772,912320.6766839804
48983811,732486.114198377
48878723,906513.3165725169
48673214,892508.5861306794
48789651,622891.4858161786
48983660,979985.1866278079
48939444,1261109.625761326
49115408,781197.4357648494
48693441,1260742.6502072907
48677458,662848.5305247285
48885812,1155466.4194347353
48677479,1291564.9757061652
48693665,1163128.8663700055
48677489,1255563.3634751637
48991732,822719.3380448689
48991896,1116652.6025340238
48991836,801387.6976721311
48991749,695831.0422351676
48677645,664057.8566557762
48677581,1393122.3579424515
48991792,773538.924242527
48859388,525292.8569549377
48697307,623878.6616148404
48805441,419115.8301334196
